pollutant,scope,site,outcome,n,r2,coef,p_value,q_value_at_0.05,fdr_significant_q0.05,q_value_at_0.1,fdr_significant_q0.1
NOx,per_site,UCSD,moderate_hyper_fraction,518,0.0748536855894564,0.1168671467812207,0.00201593468001,0.0382423087708344,True,0.0382423087708344,True
NOx,per_site,UCSD,moderate_hyper_minutes_per_day,518,0.0752373830129654,165.74788637506458,0.0021245727094908,0.0382423087708344,True,0.0382423087708344,True
PM2.5,pooled,all,moderate_hypo_windows_per_day,1944,0.0140453917701233,0.0515560431023084,0.0023271443023491,0.03942456229862005,True,0.03942456229862005,True
PM2.5,pooled,all,moderate_hyper_mean_glucose,1740,0.0392881357716053,0.7134882821270834,0.0032762043724569,0.0524192699593104,False,0.0524192699593104,True
PM2.5,pooled,all,severe_hypo_minutes_per_day,1944,0.0151254299853351,0.8754417028205206,0.0039256666259162,0.059504841487571875,False,0.059504841487571875,True
PM2.5,pooled,all,severe_hyper_minutes_per_day,1944,0.0441054890115473,10.06815475560485,0.0050717900496169,0.07303377671448336,False,0.07303377671448336,True
VOC,per_site,UCSD,moderate_hyper_mean_glucose,466,0.0419871149674772,8.053143328852487,0.0071111825739604,0.09752478958574262,False,0.09752478958574262,True
NOx,per_site,UCSD,normal_minutes_per_day,518,0.0552847412608461,-230.98052756611904,0.0104073664879207,0.1362418885691437,False,0.1362418885691437,False
PM2.5,pooled,all,severe_hyper_fraction,1944,0.0428257326171415,0.0078257177241968,0.011869198092494,0.148623002201664,False,0.148623002201664,False
VOC,per_site,UCSD,severe_hypo_mean_glucose,118,0.1128116725724411,4.703678983930328,0.0125978398262252,0.15117407791470241,False,0.15117407791470241,False
NOx,per_site,UCSD,normal_fraction,518,0.0557804653115234,-0.1527442042086982,0.0138317976257261,0.15934230864836466,False,0.15934230864836466,False
VOC,pooled,all,normal_windows_per_day,1944,0.042681891110038,0.6157014839142261,0.0155847857426287,0.1726314728414256,False,0.1726314728414256,False
PM2.5,pooled,all,severe_hypo_windows_per_day,1944,0.0165427097622393,0.0154784436548716,0.0175676043621518,0.18339595740080042,False,0.18339595740080042,False
PM2.5,per_site,UCSD,glucose_overall_variance,518,0.0536769819568678,123.12670397625332,0.0182074932426261,0.18339595740080042,False,0.18339595740080042,False
NOx,per_site,UCSD,severe_hypo_fraction,518,0.0664627430924913,0.0068118354359083,0.0184669540438306,0.18339595740080042,False,0.18339595740080042,False
VOC,per_site,UCSD,glucose_cv_ratio,518,0.0646520193504165,0.0397540290371287,0.0213504153532706,0.20255908044583532,False,0.20255908044583532,False
NOx,per_site,UCSD,severe_hypo_minutes_per_day,518,0.0652274643381957,8.006471328109123,0.0221298476936471,0.20255908044583532,False,0.20255908044583532,False
NOx,per_site,UCSD,moderate_hyper_windows_per_day,518,0.0674579518071043,1.4432092403891472,0.0225065644939817,0.20255908044583532,False,0.20255908044583532,False
NOx,per_site,UCSD,glucose_mean,518,0.0592883386262831,25.23396960496145,0.0234573746359585,0.20471890591381964,False,0.20471890591381964,False
PM2.5,pooled,all,severe_hypo_fraction,1944,0.0106234377979265,0.0008873844019335,0.0251603885172685,0.21312329096980379,False,0.21312329096980379,False
PM2.5,per_site,UAB,normal_minutes_per_day,715,0.0685135308234756,-27.57508032434187,0.0274952107122196,0.22624630528912126,False,0.22624630528912126,False
VOC,pooled,all,moderate_hypo_mean_glucose,1150,0.0140812884305939,1.2581299641947938,0.0305658636751044,0.24174056860265075,False,0.24174056860265075,False
VOC,per_site,UCSD,moderate_hyper_windows_per_day,518,0.0664309820467745,1.3865964822198702,0.0310569480496461,0.24174056860265075,False,0.24174056860265075,False
PM2.5,pooled,all,glucose_mean_daily_variance,1944,0.0535225687242244,36.69893141258986,0.0325189617604755,0.2435610406613236,False,0.2435610406613236,False
PM2.5,per_site,UAB,normal_fraction,715,0.0648598886982456,-0.0184449460060276,0.0329822242562209,0.2435610406613236,False,0.2435610406613236,False
NOx,per_site,UCSD,glucose_mean_daily_variance,518,0.0530544693219339,470.7495948002765,0.0426017206486208,0.30322717098075447,False,0.30322717098075447,False
PM2.5,per_site,UCSD,moderate_hyper_mean_glucose,466,0.0351718919494394,1.080636843116206,0.0447000612399214,0.30322717098075447,False,0.30322717098075447,False
PM2.5,per_site,UW,moderate_hypo_windows_per_day,711,0.0319654165495154,0.0500604536607663,0.0465985493098279,0.30322717098075447,False,0.30322717098075447,False
PM2.5,per_site,UAB,moderate_hyper_mean_glucose,642,0.0431530443925838,0.7929982264345248,0.0468903892242881,0.30322717098075447,False,0.30322717098075447,False
PM2.5,per_site,UW,moderate_hypo_minutes_per_day,711,0.0297704164658354,1.5393989033230095,0.0478184166651011,0.30322717098075447,False,0.30322717098075447,False
VOC,per_site,UCSD,normal_windows_per_day,518,0.0646600840430404,0.9251755668831202,0.050372015126611,0.30322717098075447,False,0.30322717098075447,False
PM2.5,per_site,UW,moderate_hypo_fraction,711,0.0296862730380819,0.0010722676715596,0.0507273744910007,0.30322717098075447,False,0.30322717098075447,False
NOx,pooled,all,glucose_cv_ratio,1944,0.0460408165886481,0.0136818820540062,0.0509815880179246,0.30322717098075447,False,0.30322717098075447,False
NOx,per_site,UCSD,glucose_overall_variance,518,0.0503523013878306,570.8663044667093,0.0511538413824842,0.30322717098075447,False,0.30322717098075447,False
NOx,per_site,UCSD,normal_windows_per_day,518,0.0645859925822057,0.9055368800831852,0.0515907339515867,0.30322717098075447,False,0.30322717098075447,False
PM2.5,pooled,all,severe_hyper_mean_glucose,728,0.0730499801063901,1.3747370784719903,0.0557605597821434,0.321180824345146,False,0.321180824345146,False
PM2.5,pooled,all,moderate_hyper_fraction,1944,0.0644464203551331,0.005813800364359,0.0571294174888937,0.32261318111375265,False,0.32261318111375265,False
VOC,pooled,all,severe_hyper_mean_glucose,728,0.0729009686919553,-9.40822032682459,0.0597545326046057,0.33094818057935466,False,0.33094818057935466,False
PM2.5,per_site,UAB,severe_hyper_windows_per_day,715,0.0394315578181314,0.0619970778929181,0.0610446431167082,0.331714287124754,False,0.331714287124754,False
VOC,per_site,UCSD,severe_hyper_windows_per_day,518,0.0408288541331827,0.4313062964805434,0.0734393890902871,0.39167674181486456,False,0.39167674181486456,False
PM2.5,pooled,all,normal_windows_per_day,1944,0.0413520860677151,0.0649970414315356,0.0750965417961444,0.39323280067799254,False,0.39323280067799254,False
PM2.5,pooled,all,moderate_hyper_minutes_per_day,1944,0.0637650933395288,7.730855768230276,0.0767454865541641,0.3946910737071297,False,0.3946910737071297,False
PM2.5,per_site,UW,glucose_overall_variance,711,0.0945454034005622,50.08236330395976,0.0782050719054995,0.39514141594357644,False,0.39514141594357644,False
NOx,pooled,all,normal_windows_per_day,1944,0.0411827482335278,0.3305347433215159,0.09270303877961,0.45505712822105315,False,0.45505712822105315,False
PM2.5,per_site,UAB,severe_hyper_minutes_per_day,715,0.0535219119681966,11.445300330099794,0.0932235089063963,0.45505712822105315,False,0.45505712822105315,False
PM2.5,per_site,UCSD,moderate_hypo_fraction,518,0.0294833384698768,0.0010421754631847,0.0968509599084473,0.46040045638326493,False,0.46040045638326493,False
VOC,per_site,UW,severe_hypo_mean_glucose,215,0.0982355966250994,-3.119765675227347,0.0983039598884618,0.46040045638326493,False,0.46040045638326493,False
VOC,per_site,UCSD,moderate_hyper_minutes_per_day,518,0.0628400550836844,90.51511070924892,0.099910823809303,0.46040045638326493,False,0.46040045638326493,False
PM2.5,per_site,UCSD,moderate_hypo_minutes_per_day,518,0.0291347406877444,1.4695775314294424,0.1007125998338392,0.46040045638326493,False,0.46040045638326493,False
NOx,pooled,all,moderate_hyper_minutes_per_day,1944,0.0635125309058837,38.00183186644679,0.1060892741096454,0.46583403939657153,False,0.46583403939657153,False
VOC,per_site,UCSD,moderate_hyper_fraction,518,0.0620898207039037,0.0623379863101788,0.1062957220976478,0.46583403939657153,False,0.46583403939657153,False
NOx,pooled,all,moderate_hyper_fraction,1944,0.0639467963963205,0.0264684809252093,0.1077038337729189,0.46583403939657153,False,0.46583403939657153,False
NOx,per_site,UAB,severe_hyper_mean_glucose,296,0.1164922950067961,-8.74964610446034,0.1120467401519912,0.46583403939657153,False,0.46583403939657153,False
PM2.5,per_site,UCSD,glucose_mean_daily_variance,518,0.0500677438480682,65.75027247612398,0.1124630172612507,0.46583403939657153,False,0.46583403939657153,False
PM2.5,per_site,UAB,moderate_hyper_fraction,715,0.04688902434653,0.0078675461372622,0.1169213279297927,0.46583403939657153,False,0.46583403939657153,False
NOx,per_site,UCSD,severe_hyper_windows_per_day,518,0.0394102317383616,0.3717573358762141,0.1169770372915257,0.46583403939657153,False,0.46583403939657153,False
